Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2011-02-01,2011-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2011,2011,,93.566180,X,base year is 2015
ITA,2012-02-01,2012-02-29,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2012,2012,,96.139710,X,base year is 2015
ITA,2013-02-01,2013-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2013,2013,,98.437500,X,base year is 2015
ITA,2014-02-01,2014-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2014,2014,,99.356620,X,base year is 2015
ITA,2015-02-01,2015-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2015,2015,,100.367600,X,base year is 2015
ITA,2016-02-01,2016-02-29,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2016,2016,,100.000000,X,base year is 2015
ITA,2017-02-01,2017-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2017,2017,,103.800000,X,base year is 2015
ITA,2018-02-01,2018-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2018,2018,,103.000000,X,base year is 2015
ITA,2019-02-01,2019-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2019,2019,,104.800000,X,base year is 2015
ITA,2020-02-01,2020-02-29,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2020,2020,,105.100000,X,base year is 2015
ITA,2021-02-01,2021-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2021,2021,,105.500000,X,base year is 2015
ITA,2022-02-01,2022-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2022,2022,,110.600000,X,base year is 2015
ITA,2023-02-01,2023-02-28,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2023,2023,,125.200000,X,base year is 2015
ITA,2024-02-01,2024-02-29,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7002,February,2024,2024,,130.100000,X,base year is 2015
ITA,2000-03-01,2000-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2000,2000,,71.457220,X,base year is 2015
ITA,2001-03-01,2001-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2001,2001,,73.930480,X,base year is 2015
ITA,2002-03-01,2002-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2002,2002,,77.072190,X,base year is 2015
ITA,2003-03-01,2003-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2003,2003,,78.943850,X,base year is 2015
ITA,2004-03-01,2004-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2004,2004,,81.885030,X,base year is 2015
ITA,2005-03-01,2005-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2005,2005,,81.684490,X,base year is 2015
ITA,2006-03-01,2006-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2006,2006,,82.486630,X,base year is 2015
ITA,2007-03-01,2007-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2007,2007,,84.425130,X,base year is 2015
ITA,2008-03-01,2008-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2008,2008,,89.037430,X,base year is 2015
ITA,2009-03-01,2009-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2009,2009,,91.711230,X,base year is 2015
ITA,2010-03-01,2010-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2010,2010,,91.711230,X,base year is 2015
ITA,2011-03-01,2011-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2011,2011,,93.841910,X,base year is 2015
ITA,2012-03-01,2012-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,,96.231620,X,base year is 2015
ITA,2013-03-01,2013-03-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,,98.529410,X,base year is 2015
